serial:no,age,gender,year_in_school,major,monthly_income,tuition,financial_aid,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,expense,savings,preferred_payment_method
509,25,Male,Sophomore,Computer Science,4611,959,522,402,369,67,162,106,24,141,45,2797,1814,Cash
510,20,Non-binary,Junior,Psychology,4369,950,656,916,207,97,90,42,78,284,75,3395,974,Mobile Payment App
511,24,Non-binary,Senior,Economics,5916,1286,456,973,263,60,108,115,22,116,63,3462,2454,Credit/Debit Card
512,19,Non-binary,Freshman,Computer Science,4417,893,312,981,156,141,240,125,59,161,118,3186,1231,Cash
513,18,Female,Freshman,Psychology,4242,1126,891,624,182,100,136,86,66,243,83,3537,705,Cash
514,22,Male,Sophomore,Biology,5466,679,481,674,180,152,147,133,58,67,130,2701,2765,Mobile Payment App
515,25,Male,Freshman,Psychology,5914,803,201,859,143,173,143,142,96,170,103,2833,3081,Credit/Debit Card
516,18,Female,Senior,Biology,3692,664,115,963,213,70,230,150,74,199,167,2845,847,Credit/Debit Card
517,18,Male,Senior,Computer Science,5326,1500,777,772,298,182,173,112,66,170,41,4091,1235,Cash
518,22,Male,Junior,Psychology,5596,1005,777,865,158,56,113,102,71,249,148,3544,2052,Credit/Debit Card
519,22,Female,Sophomore,Biology,5515,883,640,751,243,168,240,138,20,102,55,3240,2275,Credit/Debit Card
520,18,Non-binary,Freshman,Biology,5183,1428,327,822,118,184,209,27,50,212,89,3466,1717,Cash
521,21,Non-binary,Sophomore,Economics,3883,906,449,713,338,126,300,86,46,55,64,3083,800,Cash
522,18,Non-binary,Freshman,Computer Science,3317,991,836,518,315,98,82,139,94,130,145,3348,-31,Cash
523,23,Female,Freshman,Engineering,5420,1246,754,504,372,107,222,104,31,163,116,3619,1801,Mobile Payment App
524,22,Female,Freshman,Biology,4229,1273,10,887,168,197,134,140,60,236,95,3200,1029,Credit/Debit Card
525,22,Male,Junior,Psychology,4706,880,184,415,105,182,266,58,68,277,176,2611,2095,Credit/Debit Card
526,24,Non-binary,Junior,Computer Science,5658,1356,328,901,369,156,284,114,76,145,119,3848,1810,Credit/Debit Card
527,23,Female,Junior,Economics,5244,916,927,411,249,157,173,69,71,255,83,3311,1933,Credit/Debit Card
528,18,Non-binary,Freshman,Economics,3940,1059,668,836,175,131,168,30,81,215,178,3541,399,Credit/Debit Card
529,24,Female,Junior,Psychology,3048,941,203,617,214,113,233,109,49,266,73,2818,230,Credit/Debit Card
530,24,Male,Senior,Psychology,4504,764,521,828,142,117,163,73,32,299,51,2990,1514,Mobile Payment App
531,25,Non-binary,Sophomore,Economics,4654,983,670,613,246,126,255,146,20,59,155,3273,1381,Cash
532,18,Non-binary,Senior,Biology,4502,1295,263,647,112,137,172,106,88,108,42,2970,1532,Mobile Payment App
533,22,Female,Sophomore,Computer Science,4856,1301,883,519,141,57,99,76,70,60,116,3322,1534,Cash
534,22,Non-binary,Junior,Biology,5246,829,369,702,146,88,286,144,37,268,85,2954,2292,Cash
535,22,Non-binary,Sophomore,Psychology,4574,1296,1,759,147,143,56,128,72,202,49,2853,1721,Credit/Debit Card
536,21,Male,Freshman,Biology,3566,1278,506,513,360,81,145,48,70,252,94,3347,219,Credit/Debit Card
537,18,Female,Senior,Biology,4782,725,148,643,169,164,59,137,76,207,189,2517,2265,Credit/Debit Card
538,20,Male,Senior,Biology,4603,525,41,889,187,85,118,24,85,75,158,2187,2416,Cash
539,25,Non-binary,Junior,Biology,3397,1006,293,583,167,74,195,22,75,77,174,2666,731,Mobile Payment App
540,20,Male,Sophomore,Biology,5328,872,661,470,220,167,249,122,47,152,51,3011,2317,Mobile Payment App
541,20,Non-binary,Senior,Engineering,5909,549,302,409,270,66,117,61,75,278,132,2259,3650,Credit/Debit Card
542,20,Non-binary,Junior,Engineering,5717,885,380,726,135,60,60,69,27,127,87,2556,3161,Cash
543,19,Female,Senior,Computer Science,4227,1197,772,695,180,91,104,106,31,177,48,3401,826,Mobile Payment App
544,25,Male,Senior,Psychology,5598,539,429,869,209,71,106,116,41,120,149,2649,2949,Cash
545,22,Male,Sophomore,Computer Science,3810,804,911,577,291,167,294,64,64,266,134,3572,238,Cash
546,25,Non-binary,Sophomore,Economics,3324,1109,289,946,359,123,272,88,27,141,107,3461,-137,Mobile Payment App
547,25,Female,Senior,Computer Science,3126,1126,771,823,374,125,215,90,77,242,112,3955,-829,Credit/Debit Card
548,22,Non-binary,Junior,Economics,5145,849,229,830,364,113,118,60,35,237,175,3010,2135,Cash
549,23,Non-binary,Sophomore,Psychology,4627,503,158,696,361,121,136,141,60,95,139,2410,2217,Credit/Debit Card
550,20,Male,Senior,Biology,3734,1293,449,913,324,149,134,103,86,288,131,3870,-136,Mobile Payment App
551,20,Male,Junior,Biology,4215,903,96,502,294,77,160,96,23,87,161,2399,1816,Credit/Debit Card
552,23,Non-binary,Junior,Psychology,5510,1149,685,503,308,171,206,144,82,109,196,3553,1957,Credit/Debit Card
553,20,Non-binary,Freshman,Biology,3639,1363,536,536,132,137,231,107,91,208,185,3526,113,Mobile Payment App
554,19,Non-binary,Junior,Engineering,4665,1056,959,593,100,157,214,113,50,286,87,3615,1050,Cash
555,18,Male,Senior,Engineering,3063,1245,80,836,397,136,89,110,29,155,59,3136,-73,Mobile Payment App
556,25,Female,Senior,Computer Science,5744,1149,387,849,301,112,162,141,74,89,107,3371,2373,Mobile Payment App
557,19,Female,Freshman,Psychology,4066,1226,798,494,350,192,159,34,52,226,136,3667,399,Cash
558,22,Non-binary,Freshman,Engineering,3983,965,387,466,205,191,116,65,61,192,96,2744,1239,Mobile Payment App
559,21,Male,Freshman,Engineering,4956,1338,889,658,179,79,151,116,30,116,191,3747,1209,Credit/Debit Card
560,20,Male,Senior,Engineering,5141,1414,811,752,186,139,170,64,46,148,31,3761,1380,Credit/Debit Card
561,24,Non-binary,Junior,Psychology,5249,1232,648,485,248,52,64,94,75,280,48,3226,2023,Mobile Payment App
562,18,Male,Freshman,Engineering,4015,528,612,477,286,87,93,29,76,292,175,2655,1360,Cash
563,22,Male,Sophomore,Computer Science,4846,1377,500,482,335,133,87,33,57,161,82,3247,1599,Credit/Debit Card
564,23,Non-binary,Freshman,Computer Science,4983,1078,857,887,248,152,211,52,24,180,106,3795,1188,Credit/Debit Card
565,20,Male,Sophomore,Computer Science,5019,766,926,898,226,60,174,86,22,188,147,3493,1526,Cash
566,22,Non-binary,Senior,Engineering,4960,1289,253,529,229,59,182,35,64,96,123,2859,2101,Credit/Debit Card
567,21,Male,Sophomore,Economics,4948,887,825,731,309,194,60,109,86,126,177,3504,1444,Cash
568,18,Male,Sophomore,Biology,3004,1040,721,919,206,81,197,48,60,159,132,3563,-559,Cash
569,21,Female,Senior,Engineering,5912,940,973,951,352,108,62,62,70,249,98,3865,2047,Credit/Debit Card
570,25,Male,Sophomore,Biology,5734,895,924,489,157,94,92,21,23,261,57,3013,2721,Mobile Payment App
571,25,Male,Sophomore,Psychology,3901,1113,378,533,201,133,156,146,61,144,81,2946,955,Credit/Debit Card
572,24,Non-binary,Freshman,Biology,5027,982,563,830,264,126,213,52,62,296,157,3545,1482,Cash
573,22,Male,Freshman,Psychology,5008,1401,392,769,331,149,280,38,33,100,150,3643,1365,Credit/Debit Card
574,18,Male,Sophomore,Psychology,5891,772,72,765,359,133,51,23,61,250,128,2614,3277,Mobile Payment App
575,20,Male,Senior,Economics,3866,912,387,487,261,199,225,115,34,184,197,3001,865,Credit/Debit Card
576,23,Female,Sophomore,Economics,5240,946,859,409,380,179,148,81,59,101,139,3301,1939,Cash
577,23,Non-binary,Junior,Biology,4874,834,858,565,127,102,216,119,93,143,144,3201,1673,Mobile Payment App
578,24,Male,Freshman,Psychology,3265,695,457,438,340,77,109,63,24,201,137,2541,724,Cash
579,20,Male,Sophomore,Biology,5517,1479,398,854,238,93,254,118,22,143,36,3635,1882,Cash
580,21,Non-binary,Sophomore,Economics,3783,994,469,415,144,172,133,41,88,284,116,2856,927,Mobile Payment App
581,25,Female,Sophomore,Biology,5071,843,555,604,126,195,193,107,53,159,49,2884,2187,Mobile Payment App
582,21,Non-binary,Junior,Biology,6000,1412,671,917,295,191,103,22,85,297,62,4055,1945,Mobile Payment App
583,22,Male,Junior,Computer Science,5354,727,238,733,325,182,155,42,81,220,199,2902,2452,Credit/Debit Card
584,25,Male,Sophomore,Computer Science,4637,622,642,862,290,200,266,21,44,229,168,3344,1293,Mobile Payment App
585,23,Female,Senior,Computer Science,3161,1392,197,954,287,101,168,55,52,180,135,3521,-360,Credit/Debit Card
586,19,Male,Sophomore,Computer Science,4924,1491,809,792,191,144,287,81,36,223,104,4158,766,Credit/Debit Card
587,22,Non-binary,Junior,Engineering,4378,1038,540,791,202,93,184,105,48,254,79,3334,1044,Mobile Payment App
588,24,Female,Junior,Biology,3269,854,501,990,249,198,247,135,27,53,98,3352,-83,Mobile Payment App
589,21,Male,Sophomore,Biology,5211,1415,688,857,254,156,275,148,54,227,119,4193,1018,Cash
590,18,Non-binary,Senior,Economics,4522,1136,434,642,144,121,219,149,80,188,54,3167,1355,Mobile Payment App
591,22,Non-binary,Senior,Computer Science,3645,971,100,979,163,134,50,85,86,267,193,3028,617,Credit/Debit Card
592,20,Non-binary,Senior,Economics,5206,1115,31,442,332,149,229,116,69,272,103,2858,2348,Mobile Payment App
593,20,Non-binary,Freshman,Biology,4777,523,279,417,256,188,156,105,77,191,137,2329,2448,Cash
594,24,Non-binary,Junior,Psychology,5620,533,815,850,203,166,220,91,34,235,39,3186,2434,Credit/Debit Card
595,19,Female,Sophomore,Psychology,3885,1129,832,691,131,147,218,38,38,292,168,3684,201,Cash
596,22,Non-binary,Senior,Economics,3099,739,883,900,281,111,108,121,29,161,137,3470,-371,Credit/Debit Card
597,18,Female,Senior,Engineering,3690,1099,423,973,287,98,270,146,100,136,128,3660,30,Mobile Payment App
598,25,Non-binary,Junior,Psychology,5414,610,148,887,256,57,209,84,76,220,184,2731,2683,Mobile Payment App
599,23,Male,Junior,Biology,5566,1305,642,844,274,120,178,28,28,179,122,3720,1846,Credit/Debit Card
600,23,Female,Freshman,Engineering,3369,1263,744,825,141,117,135,45,39,159,158,3626,-257,Cash
601,23,Female,Freshman,Engineering,3586,656,836,770,172,111,261,78,99,177,145,3305,281,Cash
602,22,Female,Junior,Economics,3855,975,406,752,249,93,122,125,56,181,103,3062,793,Credit/Debit Card
603,25,Male,Freshman,Computer Science,4957,1459,996,892,142,51,243,128,83,131,64,4189,768,Mobile Payment App
604,25,Non-binary,Junior,Biology,3265,1302,115,561,252,88,196,84,27,158,125,2908,357,Mobile Payment App
605,18,Female,Senior,Computer Science,4745,1115,709,733,262,118,197,97,79,182,32,3524,1221,Mobile Payment App
606,24,Non-binary,Freshman,Engineering,4614,816,658,498,181,103,54,67,68,288,163,2896,1718,Mobile Payment App
607,24,Non-binary,Freshman,Engineering,5658,1358,32,696,136,77,216,70,89,103,90,2867,2791,Mobile Payment App
608,20,Female,Junior,Psychology,5634,1054,87,998,266,170,191,137,100,175,94,3272,2362,Cash
609,24,Non-binary,Freshman,Engineering,4545,1372,208,669,262,76,211,138,83,291,73,3383,1162,Credit/Debit Card
610,24,Non-binary,Sophomore,Engineering,3718,1101,508,423,341,155,291,111,75,263,122,3390,328,Mobile Payment App
611,23,Male,Junior,Engineering,4662,1258,939,745,250,121,238,101,60,263,34,4009,653,Cash
612,23,Male,Freshman,Biology,4775,1399,663,612,289,169,116,148,74,239,199,3908,867,Cash
613,21,Male,Senior,Biology,5685,1469,592,505,272,56,239,23,57,161,107,3481,2204,Cash
614,23,Male,Sophomore,Engineering,4954,560,300,554,100,122,174,109,92,188,68,2267,2687,Cash
615,24,Male,Freshman,Engineering,5328,527,337,462,349,171,288,145,92,241,120,2732,2596,Credit/Debit Card
616,20,Male,Freshman,Biology,3264,1165,282,869,132,91,255,56,37,85,187,3159,105,Mobile Payment App
617,25,Male,Junior,Computer Science,4653,996,692,765,351,148,243,31,58,74,191,3549,1104,Credit/Debit Card
618,24,Male,Junior,Engineering,4001,630,528,921,377,193,87,142,60,155,51,3144,857,Cash
619,19,Male,Junior,Engineering,4638,542,205,838,332,67,237,74,80,205,116,2696,1942,Mobile Payment App
620,19,Non-binary,Freshman,Psychology,4294,648,929,696,267,104,215,79,96,286,35,3355,939,Credit/Debit Card
621,22,Non-binary,Senior,Computer Science,4625,639,699,463,338,80,265,51,80,295,103,3013,1612,Credit/Debit Card
622,18,Non-binary,Sophomore,Engineering,4464,729,665,670,378,122,191,145,94,198,169,3361,1103,Cash
623,19,Male,Junior,Computer Science,4614,1021,473,875,282,57,191,42,40,153,106,3240,1374,Mobile Payment App
624,23,Male,Senior,Economics,4968,1229,794,953,216,85,85,143,37,280,94,3916,1052,Credit/Debit Card
625,21,Male,Junior,Engineering,5365,660,207,547,194,59,112,98,23,229,168,2297,3068,Credit/Debit Card
626,21,Non-binary,Freshman,Computer Science,3103,1343,6,759,238,75,289,107,41,170,89,3117,-14,Cash
627,25,Non-binary,Junior,Computer Science,4562,833,410,525,330,50,245,112,89,132,137,2863,1699,Cash
628,22,Male,Freshman,Computer Science,5060,555,51,534,354,69,64,33,48,76,42,1826,3234,Cash
629,22,Male,Freshman,Engineering,5373,541,94,409,264,79,288,59,43,113,175,2065,3308,Credit/Debit Card
630,22,Non-binary,Senior,Economics,3962,748,296,721,389,71,108,89,93,106,186,2807,1155,Credit/Debit Card
631,21,Female,Sophomore,Engineering,4287,1477,497,851,296,53,95,134,61,143,87,3694,593,Cash
632,22,Non-binary,Senior,Biology,5655,1236,189,773,175,145,256,122,60,143,118,3217,2438,Credit/Debit Card
633,25,Male,Freshman,Biology,3801,592,657,939,137,127,280,59,75,265,70,3201,600,Cash
634,25,Female,Senior,Computer Science,4642,558,830,895,349,89,273,45,83,79,122,3323,1319,Mobile Payment App
635,23,Male,Sophomore,Engineering,4123,925,414,776,178,106,268,105,39,201,144,3156,967,Credit/Debit Card
636,18,Male,Senior,Computer Science,3780,719,498,494,312,149,111,126,73,60,57,2599,1181,Mobile Payment App
637,24,Female,Junior,Engineering,3266,981,875,852,201,167,102,118,72,124,62,3554,-288,Credit/Debit Card
638,25,Non-binary,Senior,Economics,3704,1381,882,464,269,88,257,105,47,106,135,3734,-30,Credit/Debit Card
639,18,Non-binary,Sophomore,Biology,3357,929,126,615,324,73,162,150,58,211,87,2735,622,Cash
640,24,Male,Junior,Biology,5452,1245,906,459,255,128,95,44,47,288,195,3662,1790,Mobile Payment App
641,20,Female,Junior,Economics,3798,691,340,748,152,53,262,118,91,112,163,2730,1068,Mobile Payment App
642,24,Female,Freshman,Psychology,5353,1326,499,852,129,166,183,91,85,291,54,3676,1677,Credit/Debit Card
643,18,Non-binary,Junior,Psychology,5199,1000,203,559,371,104,144,70,63,102,95,2711,2488,Credit/Debit Card
644,25,Male,Junior,Computer Science,5221,592,662,694,119,93,275,92,58,52,180,2817,2404,Credit/Debit Card
645,22,Male,Senior,Economics,3658,1227,226,951,218,199,238,73,79,112,196,3519,139,Mobile Payment App
646,20,Female,Sophomore,Engineering,5231,575,534,506,378,66,141,66,75,56,153,2550,2681,Cash
647,19,Female,Junior,Engineering,3510,1298,323,444,222,168,221,98,61,175,133,3143,367,Credit/Debit Card
648,23,Male,Sophomore,Engineering,3621,1141,482,572,121,184,108,41,55,93,126,2923,698,Cash
649,25,Male,Senior,Biology,5926,703,654,735,295,100,278,39,80,139,178,3201,2725,Credit/Debit Card
650,23,Female,Freshman,Economics,3445,929,160,418,213,83,159,87,54,55,198,2356,1089,Mobile Payment App
651,23,Non-binary,Junior,Engineering,3694,1415,970,513,148,157,297,104,42,294,154,4094,-400,Mobile Payment App
652,18,Non-binary,Senior,Engineering,5747,1359,387,995,263,193,246,32,23,152,110,3760,1987,Credit/Debit Card
653,23,Male,Freshman,Biology,5880,1162,720,630,259,117,113,127,94,126,89,3437,2443,Cash
654,18,Female,Sophomore,Biology,5655,663,304,632,176,89,215,57,61,51,56,2304,3351,Credit/Debit Card
655,18,Non-binary,Freshman,Economics,5568,1432,9,929,224,108,265,69,22,102,120,3280,2288,Credit/Debit Card
656,20,Non-binary,Freshman,Computer Science,3637,663,823,695,191,147,277,23,73,212,188,3292,345,Mobile Payment App
657,18,Non-binary,Senior,Economics,3975,1327,109,940,363,153,157,88,98,119,52,3406,569,Credit/Debit Card
658,22,Male,Senior,Psychology,5381,1045,359,610,269,71,209,49,83,291,168,3154,2227,Credit/Debit Card
659,21,Male,Junior,Computer Science,3238,619,605,793,380,89,87,135,36,209,92,3045,193,Credit/Debit Card
660,21,Non-binary,Freshman,Economics,3053,815,905,433,355,84,241,89,67,262,141,3392,-339,Cash
661,20,Non-binary,Freshman,Biology,5128,728,399,967,152,139,293,96,39,287,184,3284,1844,Cash
662,21,Male,Senior,Economics,3687,941,831,722,390,135,81,131,69,124,107,3531,156,Mobile Payment App
663,18,Male,Freshman,Psychology,3352,1176,43,838,211,60,278,121,21,108,87,2943,409,Credit/Debit Card
664,22,Non-binary,Sophomore,Computer Science,3997,1092,574,731,187,93,151,63,55,96,169,3211,786,Credit/Debit Card
665,18,Female,Sophomore,Biology,3394,1439,526,896,176,86,134,63,52,150,175,3697,-303,Mobile Payment App
666,22,Male,Senior,Economics,3461,816,616,543,350,101,90,103,24,245,44,2932,529,Credit/Debit Card
667,18,Male,Junior,Biology,4715,1413,775,457,264,71,250,127,54,152,91,3654,1061,Cash
668,24,Female,Sophomore,Biology,4596,1076,355,464,134,99,167,97,34,77,51,2554,2042,Cash
669,21,Female,Sophomore,Economics,5303,559,169,431,222,103,237,80,56,188,78,2123,3180,Credit/Debit Card
670,23,Male,Sophomore,Engineering,3881,1144,800,405,381,130,179,106,94,216,82,3537,344,Credit/Debit Card
671,20,Non-binary,Junior,Psychology,5452,1296,113,462,191,69,238,93,51,155,187,2855,2597,Credit/Debit Card
672,24,Male,Senior,Engineering,4579,958,902,425,262,156,72,137,21,282,82,3297,1282,Cash
673,25,Male,Junior,Economics,4195,775,709,680,115,182,84,128,26,106,112,2917,1278,Credit/Debit Card
674,25,Non-binary,Junior,Economics,4676,1483,519,970,145,168,270,23,39,72,106,3795,881,Mobile Payment App
675,19,Male,Junior,Biology,4540,1304,232,651,184,102,191,148,67,268,45,3192,1348,Mobile Payment App
676,24,Female,Sophomore,Biology,4726,1400,892,749,359,163,294,132,20,208,148,4365,361,Mobile Payment App
677,24,Non-binary,Freshman,Computer Science,5852,1440,869,759,271,75,187,77,66,295,196,4235,1617,Mobile Payment App
678,22,Female,Freshman,Economics,3562,1460,650,771,311,62,265,53,96,112,37,3817,-255,Credit/Debit Card
679,20,Non-binary,Junior,Biology,4758,1379,714,927,192,119,288,137,59,95,194,4104,654,Credit/Debit Card
680,18,Female,Junior,Computer Science,5805,942,545,914,108,50,206,24,56,54,188,3087,2718,Mobile Payment App
681,25,Non-binary,Junior,Biology,4194,740,871,473,366,83,156,62,33,86,81,2951,1243,Cash
682,18,Female,Sophomore,Psychology,5923,1186,733,541,291,111,114,42,49,73,166,3306,2617,Cash
683,23,Male,Junior,Biology,5637,731,812,582,148,74,234,27,68,158,81,2915,2722,Cash
684,20,Male,Junior,Economics,5563,1347,735,974,310,98,167,35,43,298,182,4189,1374,Cash
685,19,Female,Freshman,Biology,4680,1085,417,705,159,182,295,132,66,105,185,3331,1349,Cash
686,22,Male,Senior,Biology,3645,665,401,967,151,50,232,118,75,182,181,3022,623,Mobile Payment App
687,22,Male,Freshman,Economics,5030,1422,674,663,332,148,251,130,61,187,124,3992,1038,Cash
688,24,Male,Freshman,Biology,3549,1366,319,921,389,127,146,44,93,224,151,3780,-231,Mobile Payment App
689,21,Female,Sophomore,Engineering,3751,714,645,853,149,66,184,35,21,219,176,3062,689,Mobile Payment App
690,25,Male,Freshman,Psychology,4943,1259,139,747,200,94,226,142,39,140,95,3081,1862,Credit/Debit Card
691,19,Female,Senior,Economics,3256,975,939,936,368,179,165,144,89,52,48,3895,-639,Mobile Payment App
692,24,Female,Senior,Engineering,3609,1420,235,841,151,190,175,20,97,57,154,3340,269,Cash
693,24,Non-binary,Sophomore,Engineering,3687,604,751,554,217,66,188,122,32,169,69,2772,915,Cash
694,25,Non-binary,Senior,Economics,4288,1250,509,679,125,98,92,120,39,109,146,3167,1121,Cash
695,20,Non-binary,Freshman,Computer Science,3748,567,906,842,375,96,144,112,47,278,173,3540,208,Mobile Payment App
696,25,Female,Freshman,Computer Science,5457,546,691,978,286,100,237,60,58,206,158,3320,2137,Cash
697,18,Non-binary,Senior,Economics,5537,1169,836,996,334,83,288,78,56,105,166,4111,1426,Mobile Payment App
698,23,Non-binary,Freshman,Economics,3582,834,607,692,350,88,298,150,90,248,51,3408,174,Credit/Debit Card
699,19,Non-binary,Sophomore,Computer Science,3366,1117,234,940,212,87,121,139,41,298,119,3308,58,Mobile Payment App
700,25,Male,Freshman,Economics,5595,677,894,841,313,52,219,66,42,92,120,3316,2279,Mobile Payment App
701,20,Non-binary,Freshman,Engineering,4777,1433,964,904,327,77,112,146,71,97,167,4298,479,Cash
702,20,Female,Freshman,Biology,3100,889,633,524,247,82,201,102,92,103,96,2969,131,Credit/Debit Card
703,21,Male,Junior,Biology,5934,670,708,649,386,146,182,132,48,175,59,3155,2779,Credit/Debit Card
704,19,Male,Senior,Economics,4694,645,616,904,158,69,148,60,98,114,40,2852,1842,Credit/Debit Card
705,21,Female,Junior,Psychology,5997,1107,971,720,289,124,210,35,51,157,101,3765,2232,Mobile Payment App
706,22,Female,Sophomore,Psychology,4144,750,572,563,104,191,58,22,97,53,41,2451,1693,Cash
707,21,Male,Sophomore,Biology,3359,654,261,802,124,56,57,41,56,111,62,2224,1135,Mobile Payment App
708,20,Male,Freshman,Psychology,5734,1141,57,696,284,83,204,63,46,56,125,2755,2979,Cash
709,22,Female,Sophomore,Biology,4724,811,815,815,300,120,126,22,93,104,119,3325,1399,Cash
710,23,Female,Senior,Engineering,3463,1452,520,822,317,77,148,91,61,166,133,3787,-324,Mobile Payment App
711,20,Non-binary,Junior,Psychology,4739,1255,82,465,400,68,190,24,70,246,132,2932,1807,Mobile Payment App
712,24,Female,Junior,Computer Science,4964,737,266,780,303,111,199,62,94,193,97,2842,2122,Credit/Debit Card
713,25,Male,Freshman,Engineering,4089,1419,253,444,220,148,114,65,29,136,34,2862,1227,Credit/Debit Card
714,23,Non-binary,Freshman,Computer Science,4461,815,76,446,132,165,165,58,99,135,174,2265,2196,Cash
715,25,Male,Senior,Engineering,3444,1034,602,517,238,110,255,86,77,281,150,3350,94,Credit/Debit Card
716,24,Non-binary,Freshman,Computer Science,4797,1022,626,413,139,167,165,75,57,219,126,3009,1788,Mobile Payment App
717,23,Female,Sophomore,Biology,3033,1341,839,514,300,122,137,40,61,170,65,3589,-556,Cash
718,20,Female,Senior,Engineering,5819,999,919,507,269,119,228,99,49,55,115,3359,2460,Mobile Payment App
719,21,Male,Freshman,Psychology,5467,1218,162,684,280,131,186,103,85,91,89,3029,2438,Mobile Payment App
720,24,Male,Sophomore,Economics,3512,1332,705,796,399,199,79,54,86,206,99,3955,-443,Cash
721,20,Non-binary,Freshman,Biology,4230,903,371,798,319,60,90,101,24,147,70,2883,1347,Credit/Debit Card
722,25,Non-binary,Freshman,Biology,5307,932,887,472,345,61,190,119,69,235,67,3377,1930,Mobile Payment App
723,21,Female,Junior,Biology,5961,634,330,774,334,193,105,83,46,166,200,2865,3096,Cash
724,25,Male,Senior,Biology,3130,553,268,736,140,68,150,99,33,288,51,2386,744,Credit/Debit Card
725,21,Male,Junior,Economics,5610,547,678,510,192,123,248,57,28,252,141,2776,2834,Cash
726,18,Male,Senior,Computer Science,3014,867,646,944,320,165,232,96,73,298,142,3783,-769,Cash
727,20,Male,Sophomore,Economics,3088,863,844,966,371,66,227,117,32,245,55,3786,-698,Mobile Payment App
728,25,Non-binary,Sophomore,Biology,4879,603,321,420,231,126,248,74,32,172,80,2307,2572,Mobile Payment App
729,21,Female,Junior,Computer Science,3534,1480,555,799,259,100,254,93,66,279,191,4076,-542,Credit/Debit Card
730,18,Male,Freshman,Engineering,3744,522,448,706,174,80,284,90,61,228,66,2659,1085,Mobile Payment App
731,22,Female,Junior,Biology,3318,1376,510,460,132,159,59,88,38,87,88,2997,321,Cash
732,22,Non-binary,Junior,Computer Science,5729,1195,988,455,115,117,74,129,93,154,155,3475,2254,Credit/Debit Card
733,24,Non-binary,Freshman,Psychology,3521,1223,785,821,128,50,135,96,67,182,139,3626,-105,Credit/Debit Card
734,21,Female,Junior,Computer Science,3640,613,524,834,219,57,71,89,39,241,66,2753,887,Cash
735,25,Non-binary,Sophomore,Engineering,4017,844,766,840,179,189,230,128,74,157,38,3445,572,Mobile Payment App
736,24,Female,Junior,Computer Science,4213,620,192,726,332,144,289,92,24,195,135,2749,1464,Cash
737,22,Male,Freshman,Psychology,4216,983,944,978,114,103,58,123,72,114,76,3565,651,Credit/Debit Card
738,25,Male,Sophomore,Biology,5975,996,250,520,317,121,115,47,89,241,45,2741,3234,Mobile Payment App
739,18,Male,Junior,Engineering,3075,1106,794,881,165,166,260,23,32,135,49,3611,-536,Cash
740,23,Non-binary,Senior,Engineering,4359,1032,809,987,364,176,67,74,52,56,166,3783,576,Credit/Debit Card
741,20,Female,Senior,Biology,4647,1419,991,648,261,151,78,55,31,222,135,3991,656,Credit/Debit Card
742,22,Male,Sophomore,Economics,5142,610,100,473,298,164,139,45,67,77,32,2005,3137,Cash
743,19,Female,Junior,Economics,4790,1449,599,885,109,57,293,70,90,267,164,3983,807,Cash
744,25,Male,Senior,Engineering,3467,1270,504,484,286,132,291,138,48,155,162,3470,-3,Credit/Debit Card
745,18,Non-binary,Freshman,Computer Science,5055,770,637,814,273,55,140,134,61,131,128,3143,1912,Mobile Payment App
746,25,Non-binary,Sophomore,Psychology,4595,911,929,578,338,122,165,25,87,275,176,3606,989,Credit/Debit Card
747,18,Female,Junior,Biology,5031,1303,299,701,242,183,249,103,79,107,74,3340,1691,Credit/Debit Card
748,19,Non-binary,Junior,Engineering,3603,1367,688,452,372,162,177,29,66,243,30,3586,17,Credit/Debit Card
749,25,Non-binary,Sophomore,Computer Science,3449,509,664,779,243,153,281,108,52,70,145,3004,445,Credit/Debit Card
750,22,Male,Junior,Engineering,5299,804,582,892,153,173,199,32,84,289,126,3334,1965,Cash
751,23,Female,Freshman,Computer Science,5323,1268,271,898,204,187,215,113,81,212,111,3560,1763,Credit/Debit Card
752,22,Non-binary,Junior,Engineering,3720,1492,82,823,277,186,275,141,61,167,65,3569,151,Cash
753,23,Non-binary,Senior,Biology,3827,1402,461,904,321,138,147,114,33,198,188,3906,-79,Cash
754,24,Non-binary,Junior,Psychology,4035,673,606,818,355,103,257,35,47,56,149,3099,936,Credit/Debit Card
755,22,Female,Sophomore,Biology,4894,1174,962,426,329,191,175,29,34,113,156,3589,1305,Cash
756,20,Female,Freshman,Biology,4125,635,827,969,194,196,228,81,68,120,112,3430,695,Credit/Debit Card
757,23,Male,Sophomore,Engineering,4401,792,584,631,224,100,72,73,28,98,101,2703,1698,Credit/Debit Card
758,22,Non-binary,Sophomore,Biology,3199,998,928,565,151,71,270,78,98,291,124,3574,-375,Mobile Payment App
759,21,Non-binary,Junior,Biology,5775,866,581,773,267,100,252,32,26,97,42,3036,2739,Credit/Debit Card
760,23,Non-binary,Sophomore,Biology,3714,1408,566,905,223,168,262,124,31,123,58,3868,-154,Cash
761,25,Non-binary,Freshman,Biology,3335,732,103,742,395,154,245,130,73,178,100,2852,483,Credit/Debit Card
762,18,Non-binary,Junior,Engineering,5507,1107,511,738,144,131,213,53,38,156,137,3228,2279,Cash
763,24,Female,Freshman,Engineering,4126,1165,68,859,333,196,124,109,49,185,179,3267,859,Cash
